Method,Evaluation,Target,Grouping,Analyte,Treatment,n,RMSE,NRMSE,Coverage
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TKN,CT,106,1.6,0.540,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TKN,MT,102,0.717,0.344,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TKN,ST,106,1.68,0.660,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TN,CT,36,1.1,0.191,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TN,MT,34,1.32,0.237,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TN,ST,34,0.993,0.175,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TP,CT,122,0.495,0.531,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TP,MT,120,0.978,1.059,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TP,ST,120,0.368,0.509,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TSS,CT,133,704,0.518,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TSS,MT,134,640,0.796,NA
ML,full_record_physical_event_reconstruction,Result_mg_L,analyte_treatment,TSS,ST,134,412,0.536,NA
ML,full_record_physical_event_reconstruction,Volume_L,overall,all,all,333,1.2e+04,0.449,NA
ML,full_record_physical_event_reconstruction,Volume_L,treatment,all,CT,111,1.63e+04,0.561,NA
ML,full_record_physical_event_reconstruction,Volume_L,treatment,all,MT,101,1.03e+04,0.374,NA
ML,full_record_physical_event_reconstruction,Volume_L,treatment,all,ST,121,8.11e+03,0.336,NA
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,NH4,all,42,0.282,2.592,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,NO2,all,129,0.34,1.222,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,NO3,all,357,2.3,0.328,88.5%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,OP,all,336,0.224,1.857,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,Se,all,102,0.137,20.662,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TDS,all,97,594,0.671,41.2%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TKN,all,314,5.13,2.024,79.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TN,all,104,3.41,0.601,83.7%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TP,all,362,1.2,1.401,95.3%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_overall,TSS,all,401,1.16e+03,1.184,58.1%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NH4,CT,14,0.419,3.614,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NH4,MT,14,0.2,2.241,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NH4,ST,14,0.149,1.233,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NO2,CT,42,0.351,1.240,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NO2,MT,43,0.32,1.144,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NO2,ST,44,0.347,1.280,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NO3,CT,122,2.05,0.295,89.3%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NO3,MT,116,2.59,0.362,87.9%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,NO3,ST,119,2.24,0.322,88.2%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,OP,CT,112,0.214,1.901,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,OP,MT,112,0.235,1.665,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,OP,ST,112,0.224,2.056,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,Se,CT,34,0.141,19.251,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,Se,MT,34,0.139,22.362,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,Se,ST,34,0.13,20.577,100.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TDS,CT,32,558,0.634,59.4%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TDS,MT,32,601,0.676,31.2%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TDS,ST,33,621,0.702,33.3%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TKN,CT,106,4.8,1.623,78.3%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TKN,MT,102,4.47,2.140,78.4%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TKN,ST,106,5.98,2.351,80.2%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TN,CT,36,2.81,0.486,86.1%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TN,MT,34,3.56,0.640,82.4%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TN,ST,34,3.81,0.672,82.4%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TP,CT,122,0.896,0.960,96.7%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TP,MT,120,1.64,1.776,94.2%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TP,ST,120,0.934,1.293,95.0%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TSS,CT,133,1.38e+03,1.012,47.4%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TSS,MT,134,1.14e+03,1.422,68.7%
ML,outer_loyo_physical_event_validation,Result_mg_L,analyte_treatment,TSS,ST,134,905,1.176,58.2%
ML,outer_loyo_physical_event_validation,Volume_L,overall,all,all,333,2.55e+04,0.952,88.3%
ML,outer_loyo_physical_event_validation,Volume_L,treatment,all,CT,111,2.47e+04,0.851,90.1%
ML,outer_loyo_physical_event_validation,Volume_L,treatment,all,MT,101,2.8e+04,1.023,87.1%
ML,outer_loyo_physical_event_validation,Volume_L,treatment,all,ST,121,2.39e+04,0.989,87.6%
